徒歩	近さ	家賃	間取り	大きさ	方角	築年数
9	B	9700	1K	21.52	西 	2
9	B	8000	1K	24.1	東 	8
9	B	10400	1K	30.34	南東 	6
13	B	8250	1K	21.7	東 	13
12	B	8600	1K	20.79	北東 	0
3	A	12200	1K	27.44	北東 	5
4	A	7800	1K	21.95	西 	15
6	A	12200	1K	27.44	西 	5
12	B	8600	1K	20.79	北東 	0
2	A	8400	1K	20.29	西 	8
9	B	8700	1K	21.3	西 	1
2	A	8750	1K	22.01	北 	0
2	A	9150	1K	22.17	北 	0
2	A	9200	1K	22.37	北 	0
3	A	7900	1K	20.72	西 	10
3	A	8100	1K	20.92	西 	10
3	A	8300	1K	20.72	西 	10
4	A	8000	1K	20.5	北西 	8
5	A	10000	1DK	28.66	東 	17
6	A	11600	1DK	31.02	東 	7
6	A	14500	1DK	40.57	東 	7
8	B	13100	1DK	41.81	西 	5
8	B	8100	1K	20.5	北西 	8
11	B	8600	1K	20.79	北東 	0
8	B	7100	1K	22	西 	17
9	B	18400	1LDK	54.68	西 	10
